LANGUAGE,English,Czech,Comment

STRM_ONLOAD_MISSION,"Road to Morton","",On load mission
STRM_ONLOAD_INTRO,"Northernmost point","",On load intro

STRM_37v01,"Man, this is actually a strong one!","",Yashin
STRM_37v02,"Stolichnaya, my comrade. The best liquor to keep your spirits high and your body warm!\nIsn't it getting cold?","",Koltsov
STRM_37v03,"Then drink more! Here, let's open another. Cheers, Ippolit!","",Yashin
STRM_37v04,"Cheers, Igor! Bottoms up!","",Koltsov
STRM_37v05,"It certainly gives you a new perspective! You see the world im a different way!","",Yashin
STRM_37v06,"My man, now you speak my language! Vodka brings comrades together! If only the Americans would have tasted it, this whole business would be long over!","",Koltsov
STRM_37v07,"You're on to something there, comrade. We could try to send them few crates instead of rockets and see where it goes.","",Yashin
STRM_37v08,"A grandiose idea! That deserves a drink! Cheers, Igor!","",Koltsov
STRM_37v09,"Cheers, Ippolit!","",Yashin

STRM_37v10,"Those two were made for each other.","",Ablomov
STRM_37v11,"True soulmates. So, where were we?","",Rashiv
STRM_37v12,"I was telling you about Ekaterina, the light of my life.","",ablomov
STRM_37v13,"In love, are you?","",rashiv
STRM_37v14,"Absolutely and unconditionally. The moment I laid my eyes on her I knew I was lost and I would spend the rest of my days longing for her smile.","",ablomov
STRM_37v15,"She means the world to me and I only endure this conflict knowing it is to protect her back home.\nBut we are separated for a long time now and my letters are not being answered and that makes me wary.","",ablomov
STRM_37v16,"You're not receiving any letters from her anymore?","",rashiv
STRM_37v17,"We've been writing to each other almost daily. But few weeks back, she suddenly stopped. I have not received a reply since.","",ablomov
STRM_37v18,"That is strange, but it could be due to number of reasons...","",rashiv
STRM_37v19,"Yes, I know it is easily explainable given the situation and the place, but it still makes me uneasy that something could be going on.","",ablomov
STRM_37v20,"I am sure everything is alright, Nikolai, and you'll sson hear from Ekaterina as well.","",rashiv
STRM_37v21,"You are too kind, Sergey. Thank you.","",ablomov
STRM_37v22,"How did you find this place?","",rashiv
STRM_37v23,"The same day I found you. It was a very eventful day.","",ablomov
STRM_37v24,"I do like it here.","",rashiv
STRM_37v25,"That makes two of us.","",ablomov
STRM_37v26,"Cheers!","",koltsov
STRM_37v27,"Bottoms up!","",yashin
STRM_37v28,"I think even four of us.","",ablomov
